TEMPORARY DUTY SUSPENSION FOR CERTAIN PIGMENTS.
In General.--Subchapter II of chapter 99 of the Harmonized Tariff Schedule of the United States is amended by inserting in numerical sequence the following new headings: `` 9902.32.11 Hostaperm Yellow H4G (CAS No.
No change No change On or before 031837-42-0; Pigment Yellow 12/31/98 151) (provided for in subheading 3204.17.50)...... Free 9902.32.12 PV Fast Yellow H3R (CAS No.
No change No change On or before 074441-05-7; Pigment Yellow 12/31/98 181) (provided for in subheading 3204.17.30)...... Free 9902.32.13 Hostaperm yellow H3G (CAS No.
No change No change On or before 068134-22-5; Pigment Yellow 12/31/98 154) (provided for in subheading 3204.17.30)...... Free 9902.32.14 Hostaperm Yellow H6G (CAS No.
No change No change On or before 035636-63-6; Pigment Yellow 12/31/98 175) (provided for in subheading 3204.17.30)...... Free 9902.32.15 PV Fast Yellow HG (CAS No.
No change No change On or before 077804-81-0; Pigment Yellow 12/31/98 180) (provided for in subheading 3204.17.30)...... Free 9902.32.16 PV Fast Yellow HGR (CAS No.
No change No change On or before 129423-54-7; Pigment Yellow 12/31/98 191) (provided for in subheading 3204.17.30)...... Free 9902.32.17 PV Fast Red HF4B (CAS No.
No change No change On or before 059487-23-9; Pigment Red 12/31/98 187) (provided for in subheading 3204.17.30)...... Free 9902.32.18 PV Red HG (CAS No.
043035-18- No change No change On or before 3; Pigment Red 247) 12/31/98 (provided for in subheading 3204.17.30)................. Free 9902.32.19 PV Red HB (CAS No.
043035-18- No change No change On or before 3; Pigment Red 247) 12/31/98 (provided for in subheading 3204.17.30)................. Free 9902.32.20 PV Fast Orange H4G-L (CAS No.
No change No change On or before 078245-94-0; Pigment Orange 12/31/98 72) (provided for in subheading 3204.17.30)...... Free 9902.32.21 Permanent Yellow NCG-71 (CAS No change No change On or before No.
005979-28-2; Pigment 12/31/98 Yellow 16) (provided for in subheading 3204.17.10)...... Free 9902.32.22 PV Carmine HF4C (CAS No.
No change No change On or before 051920-12-8; Pigment Red 12/31/98 185) (provided for in subheading 3204.17.10)...... Free 9902.32.23 Novoperm Red HF28-01 (CAS No.
No change No change On or before 031778-10-6; Pigment Red 12/31/98 208) (provided for in subheading 3204.17.10)...... Free 9902.32.24 Novoperm Red HF3S (CAS No.
No change No change On or before 061847-48-1; Pigment Red 12/31/98 188) (provided for in subheading 3204.17.10)...... Free 9902.32.25 Novoperm Red HF3S-70 (CAS No.
No change No change On or before 061847-48-1; Pigment Red 12/31/98 188) (provided for in subheading 3204.17.10)...... Free (b) Effective Date.--The amendment made by this section applies with respect to goods entered, or withdrawn from warehouse for consumption, on or after the 15th day after the date of the enactment of this Act.
